Education,Marital_Status,Income,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Customer_Tenure,Total_Spend,Family_Size,Total_Campaigns_Accepted,Age
Graduation,Partnered,50737.0,61,1,2,0,4,6,0,0,414,99,2,1,59
PhD,Partnered,68462.0,6,1,3,3,8,1,0,0,564,1670,1,0,45
Master,Partnered,65073.0,65,1,5,3,5,2,1,0,313,900,1,0,71
PhD,Partnered,46681.0,52,2,4,6,4,5,0,0,264,425,3,0,66
Graduation,Partnered,78618.0,87,1,4,7,10,2,0,0,639,2153,1,1,57
PhD,Single,62187.0,38,3,6,2,10,4,0,0,99,636,2,0,45
Graduation,Partnered,28442.0,53,3,2,1,4,4,0,0,125,57,3,0,36
PhD,Partnered,37717.0,31,1,1,0,2,9,0,0,583,25,2,0,36
Graduation,Partnered,51479.0,67,7,6,3,6,7,0,0,548,494,3,0,47
Graduation,Single,54803.0,65,2,6,2,9,4,0,0,677,693,2,0,45
Graduation,Partnered,79530.0,64,1,4,10,11,2,0,0,408,1348,1,0,54
Graduation,Single,31615.0,82,2,2,0,3,7,0,0,470,51,2,0,38
Graduation,Partnered,72025.0,27,1,4,3,8,3,0,0,589,1932,1,0,52
PhD,Single,52614.0,63,2,2,4,8,8,0,0,575,990,2,0,39
2n Cycle,Partnered,35684.0,66,1,1,0,3,6,0,0,68,30,2,0,30
Graduation,Partnered,48178.0,69,6,5,1,4,8,0,0,609,254,3,0,39
Master,Single,29548.0,52,1,1,1,2,4,0,0,304,29,2,1,44
Graduation,Single,63810.0,45,4,4,3,12,8,0,0,595,1371,2,1,48
PhD,Single,38578.0,2,3,3,0,3,8,0,1,372,73,3,0,42
Master,Single,46098.0,86,4,3,2,2,8,0,0,680,120,3,0,39
Graduation,Single,22585.0,23,1,1,1,2,9,0,1,468,81,1,1,44
Graduation,Single,30279.0,13,1,1,0,3,8,0,0,546,37,2,0,25
PhD,Partnered,66426.0,14,2,3,5,10,6,0,0,270,1377,2,0,53
Graduation,Single,30822.0,92,1,1,0,3,7,0,0,380,51,2,0,45
PhD,Partnered,33581.0,38,1,1,0,2,8,0,0,537,17,3,0,45
Graduation,Partnered,19986.0,74,1,0,0,3,7,0,0,227,22,2,0,29
Graduation,Single,27421.0,14,3,4,1,6,7,0,0,564,324,1,0,60
2n Cycle,Partnered,35688.0,94,7,4,1,4,8,0,0,676,211,4,0,41
Master,Single,36143.0,33,1,0,1,2,3,0,0,91,19,2,0,33
Graduation,Single,10245.0,32,3,1,2,2,5,0,0,410,41,2,0,43
Master,Partnered,43795.0,11,3,7,3,4,7,0,1,256,492,2,1,46
Graduation,Partnered,63381.0,78,4,4,5,13,2,0,0,632,1005,2,0,54
Graduation,Partnered,38823.0,56,1,2,1,3,6,0,0,668,114,2,0,65
PhD,Single,83664.0,57,3,2,2,12,5,0,0,417,1173,3,0,46
Graduation,Partnered,90300.0,7,0,5,6,8,1,0,0,177,1738,1,1,35
Master,Partnered,62499.0,0,2,3,1,6,4,0,0,202,222,2,0,35
Graduation,Single,74293.0,66,1,5,4,6,2,0,0,56,1127,1,0,21
PhD,Partnered,51012.0,86,1,4,1,4,6,0,0,437,209,1,0,68
Master,Partnered,70777.0,80,3,5,3,12,3,0,0,124,787,2,0,46
PhD,Partnered,68682.0,56,1,4,9,10,2,0,0,266,1598,1,0,23
Graduation,Partnered,43824.0,18,4,3,1,4,8,0,0,652,186,3,0,43
Graduation,Partnered,15345.0,51,2,1,1,2,8,0,1,667,47,2,0,30
Graduation,Single,23442.0,71,1,1,0,3,7,0,0,552,27,2,0,27
2n Cycle,Partnered,14515.0,71,4,2,2,3,7,0,1,597,96,2,0,34
2n Cycle,Single,31395.0,80,4,2,1,3,6,0,0,463,64,3,0,58
Graduation,Partnered,75276.0,2,1,9,4,9,5,0,0,640,1040,1,0,49
Graduation,Single,42373.0,83,5,2,1,5,5,0,0,318,163,3,0,40
Graduation,Partnered,30507.0,29,1,5,1,4,7,0,0,475,343,1,0,54
PhD,Single,55521.0,11,9,6,3,6,7,0,1,250,446,4,1,59
Graduation,Partnered,48006.0,55,1,1,0,3,6,0,0,20,41,3,0,49
PhD,Single,27213.0,19,3,2,0,4,8,0,1,668,70,2,0,42
PhD,Single,65808.0,1,3,5,1,5,6,0,0,30,272,3,0,43
PhD,Partnered,30351.0,19,1,3,0,2,9,0,0,388,46,2,0,40
Graduation,Partnered,50437.0,28,3,7,1,8,7,0,0,620,490,3,0,51
2n Cycle,Single,23616.0,76,2,3,0,3,8,0,1,589,79,2,0,32
Graduation,Partnered,53858.0,50,4,4,3,6,4,0,0,597,915,2,0,38
PhD,Partnered,66465.0,1,3,11,9,12,6,0,0,456,1485,2,1,59
Graduation,Single,46923.0,90,3,5,1,7,7,0,0,676,369,2,0,27
Graduation,Partnered,75072.0,83,2,5,4,8,3,0,0,522,1073,2,0,52
PhD,Partnered,75865.0,73,1,3,5,10,1,0,0,90,1242,1,0,71
2n Cycle,Partnered,19789.0,24,3,2,1,3,5,0,0,221,78,2,1,39
Graduation,Partnered,80134.0,11,1,2,7,11,5,0,0,135,1378,1,4,20
Graduation,Single,91065.0,33,1,7,9,9,3,0,1,492,1474,1,2,33
Master,Partnered,49505.0,4,9,10,2,8,8,0,0,481,751,3,0,43
PhD,Partnered,37401.0,14,2,2,0,3,7,0,0,54,48,2,0,41
Graduation,Partnered,30096.0,30,1,2,0,3,6,0,0,38,45,2,0,31
Master,Partnered,18492.0,75,1,1,0,2,8,0,0,24,10,2,0,32
Master,Partnered,82584.0,26,1,3,4,8,1,0,1,390,1435,1,2,40
PhD,Partnered,93027.0,77,0,7,10,5,2,0,0,442,2119,1,1,73
Graduation,Partnered,48686.0,8,1,1,0,2,8,0,0,207,20,4,0,61
Graduation,Partnered,92910.0,42,1,6,7,13,1,0,0,66,1795,1,3,28
Graduation,Partnered,75433.0,28,2,2,5,10,6,0,0,85,1188,2,2,25
2n Cycle,Partnered,10404.0,52,2,1,0,4,5,0,0,56,43,2,0,25
Graduation,Partnered,61314.0,1,2,5,5,12,3,0,0,430,1008,2,0,46
PhD,Single,84865.0,1,1,2,4,9,4,0,1,416,1688,1,4,53
Graduation,Partnered,42387.0,42,5,8,1,7,8,0,0,608,684,2,0,25
2n Cycle,Partnered,67309.0,76,15,9,6,9,7,0,0,522,1082,3,0,47
Graduation,Partnered,75236.0,27,1,8,3,13,4,0,0,216,1068,2,0,50
Graduation,Single,30015.0,28,2,1,0,4,5,0,0,147,57,2,0,44
Master,Partnered,50943.0,49,1,1,0,3,5,0,0,373,46,2,0,58
Graduation,Single,67272.0,12,3,6,2,12,5,0,0,190,733,2,0,48
Master,Single,51529.0,14,2,9,1,5,8,0,0,295,467,2,0,65
PhD,Partnered,32011.0,89,3,2,1,4,7,0,0,311,122,2,0,43
2n Cycle,Partnered,7500.0,96,2,2,0,3,8,0,0,507,36,2,0,28
Graduation,Partnered,28691.0,56,1,1,0,3,8,0,0,360,34,2,0,25
PhD,Partnered,56223.0,72,2,2,1,5,4,0,0,191,156,2,0,66
Graduation,Partnered,18100.0,14,1,0,0,3,5,0,0,327,14,1,0,68
Graduation,Single,30279.0,13,1,1,0,3,8,0,0,546,37,2,0,25
2n Cycle,Partnered,20130.0,99,1,1,0,3,8,0,0,104,34,1,0,40
Graduation,Single,23295.0,72,1,1,0,2,8,0,0,351,20,1,0,55
Master,Single,42618.0,92,2,5,0,4,8,0,0,263,192,2,0,42
Graduation,Single,81246.0,87,1,4,5,7,1,0,0,182,1379,1,2,50
Graduation,Partnered,24027.0,7,2,2,0,3,8,0,0,385,48,2,0,38
PhD,Partnered,55707.0,91,2,3,2,9,3,0,0,189,428,2,0,61
Graduation,Single,57959.0,71,5,4,7,11,3,0,0,423,868,2,0,59
Graduation,Partnered,56796.0,24,3,8,9,7,7,0,0,498,1001,2,0,45
Master,Single,36230.0,17,1,2,0,4,5,0,0,255,59,2,0,43
2n Cycle,Partnered,70829.0,87,2,4,2,8,3,0,0,210,431,3,0,34
Graduation,Partnered,65991.0,21,3,9,5,10,7,0,0,660,971,2,0,38
Graduation,Partnered,38988.0,90,7,5,1,6,8,0,0,678,348,4,0,42
2n Cycle,Single,89572.0,44,1,7,7,9,4,0,1,652,2059,1,2,48
Master,Partnered,42207.0,71,4,4,1,5,6,0,1,454,265,2,1,30
Graduation,Partnered,50300.0,52,2,2,1,8,2,0,0,35,270,2,0,62
2n Cycle,Partnered,66664.0,78,1,5,7,6,3,0,0,642,1289,1,0,32
Graduation,Partnered,60597.0,2,4,2,2,8,7,0,1,179,893,2,1,50
Graduation,Single,70165.0,60,1,3,7,11,1,0,0,280,926,1,0,65
PhD,Single,50520.0,25,2,3,1,3,6,0,0,152,135,2,0,56
Graduation,Partnered,80124.0,47,1,3,7,8,1,0,0,3,1495,1,1,51
Graduation,Partnered,33183.0,46,2,4,0,3,7,0,0,125,120,2,0,39
PhD,Single,66582.0,83,1,2,8,9,1,0,0,118,1288,1,0,45
PhD,Partnered,75261.0,17,1,5,6,5,2,0,1,432,1743,1,2,59
Graduation,Single,31880.0,13,1,1,0,2,8,0,0,606,15,2,0,44
Graduation,Partnered,53790.0,86,3,7,2,8,6,0,0,115,542,3,0,63
PhD,Partnered,49269.0,92,3,7,3,12,7,0,0,683,890,2,0,43
Graduation,Partnered,61456.0,47,4,6,10,13,4,0,0,459,1388,2,0,39
Graduation,Partnered,37406.0,18,1,1,0,2,8,0,1,262,17,2,0,34
PhD,Partnered,56937.0,81,7,8,6,9,6,0,1,694,906,2,1,33
Graduation,Partnered,38415.0,91,2,1,0,3,7,0,0,543,44,3,0,36
Graduation,Single,20518.0,58,1,1,1,2,5,0,0,42,25,2,0,26
Graduation,Partnered,62503.0,40,4,8,3,11,5,0,0,496,973,2,0,58
PhD,Single,41644.0,67,2,1,0,3,3,0,0,51,31,3,0,42
Master,Partnered,55842.0,19,1,7,1,8,5,0,0,37,518,2,0,37
PhD,Partnered,62010.0,93,4,6,2,7,5,0,0,614,530,2,0,42
Graduation,Partnered,41124.0,41,7,7,3,4,8,0,0,606,506,2,0,37
Master,Partnered,38961.0,60,1,2,1,2,7,0,0,181,70,2,0,41
Master,Single,37760.0,54,1,2,0,3,6,0,0,322,54,2,0,42
Graduation,Single,32233.0,26,2,6,2,2,9,0,1,679,296,2,1,40
Graduation,Partnered,43057.0,30,4,4,2,5,5,0,0,242,266,2,0,39
Master,Partnered,83151.0,93,1,5,9,4,3,0,0,627,747,1,0,54
PhD,Single,78825.0,35,1,5,10,13,3,0,1,653,895,1,0,50
Master,Partnered,65104.0,4,2,3,5,7,7,0,0,227,1053,2,0,38
Graduation,Partnered,60093.0,92,2,7,2,10,6,0,0,368,735,2,0,40
Graduation,Partnered,14045.0,24,1,1,0,3,7,0,0,154,20,2,0,45
2n Cycle,Single,28457.0,96,1,4,1,4,8,0,0,609,205,1,0,62
PhD,Partnered,78952.0,11,2,2,5,12,6,0,0,643,2092,2,0,56
Graduation,Single,46310.0,99,2,6,1,5,8,0,0,573,309,2,0,38
Graduation,Partnered,76005.0,72,1,3,5,13,6,0,0,492,1722,1,1,59
Master,Single,58308.0,77,4,2,6,3,8,0,0,533,900,2,0,50
PhD,Single,55614.0,85,1,9,4,6,7,0,0,214,682,1,1,70
Master,Single,59432.0,88,3,5,3,11,5,0,0,442,663,2,0,52
Graduation,Single,55563.0,22,1,2,0,3,3,0,0,85,43,2,0,36
PhD,Partnered,78642.0,83,1,4,9,4,6,0,0,434,1816,2,0,43
PhD,Partnered,67911.0,63,3,6,7,11,3,0,0,38,976,2,0,65
Graduation,Partnered,65275.0,9,1,4,3,13,2,0,0,452,746,1,0,70
Graduation,Partnered,27203.0,92,2,1,1,2,8,0,0,692,64,3,0,64
Master,Partnered,48330.0,2,1,1,0,3,5,0,0,226,32,2,0,53
Basic,Partnered,24279.0,6,1,4,1,3,8,0,0,547,263,1,0,24
PhD,Partnered,64355.0,66,2,4,3,12,8,0,0,674,1445,2,0,29
Master,Partnered,50943.0,49,1,1,0,3,5,0,0,373,46,2,0,58
Graduation,Single,53653.0,29,2,10,4,12,6,0,0,599,1210,1,0,61
Graduation,Partnered,65665.0,77,1,5,10,8,3,0,0,209,945,2,0,38
Graduation,Single,81217.0,77,1,3,7,11,1,0,0,345,1157,1,0,25
Graduation,Partnered,34935.0,71,1,2,1,4,7,0,0,373,137,1,0,22
Graduation,Single,61250.0,49,6,5,2,12,5,0,0,560,730,2,0,55
PhD,Partnered,39665.0,97,3,4,2,3,7,0,0,400,216,2,1,33
Graduation,Single,60152.0,6,1,6,4,12,3,0,0,458,943,2,0,35
Graduation,Partnered,48920.0,93,3,6,2,5,7,0,0,252,347,3,1,50
Master,Partnered,89120.0,78,1,5,6,7,1,0,0,104,1924,1,1,55
PhD,Partnered,44124.0,62,4,6,2,5,8,0,0,414,397,2,0,68
Master,Single,81169.0,47,1,5,7,9,2,0,0,441,2089,1,0,39
Graduation,Partnered,36443.0,9,4,3,1,3,8,0,0,511,138,3,0,53
Graduation,Single,26095.0,77,1,1,0,3,7,0,0,364,42,2,0,24
Graduation,Partnered,71367.0,24,1,4,5,7,2,0,0,310,777,1,0,55
Master,Partnered,80184.0,19,1,6,3,10,3,0,0,120,1902,1,2,70
Graduation,Single,30630.0,67,2,2,0,3,7,0,0,153,52,3,0,49
Master,Single,73454.0,95,1,2,4,6,5,0,0,120,1651,1,1,27
Graduation,Partnered,42691.0,48,1,5,1,6,5,0,0,317,358,1,0,23
Graduation,Partnered,70503.0,73,1,2,4,9,6,0,0,637,1727,1,2,61
Graduation,Partnered,25545.0,35,3,2,2,3,6,0,1,659,210,2,0,27
Graduation,Partnered,32880.0,76,1,1,0,3,8,0,0,572,42,2,0,28
PhD,Partnered,77863.0,20,1,4,5,10,2,0,0,214,1291,1,0,56
Master,Partnered,50353.0,72,1,4,4,6,3,0,0,21,442,1,0,37
Graduation,Single,61839.0,20,1,4,8,4,8,0,0,686,1895,1,0,50
PhD,Partnered,49154.0,69,6,4,1,8,6,0,0,238,411,3,0,54
2n Cycle,Single,47682.0,80,4,4,3,8,5,0,0,499,521,2,0,39
Graduation,Single,72679.0,65,1,4,7,5,1,0,0,284,1168,2,0,45
Master,Partnered,57954.0,52,7,8,2,6,7,0,0,11,493,3,1,37
Graduation,Partnered,65316.0,65,2,3,2,5,4,0,0,431,260,3,0,52
Graduation,Single,28567.0,57,2,2,0,3,6,0,0,377,46,2,0,32
Master,Partnered,47352.0,70,4,6,1,5,7,0,0,444,319,2,0,63
Graduation,Partnered,44931.0,0,1,2,1,3,5,0,0,162,96,2,0,47
Graduation,Single,76982.0,19,1,8,3,4,4,0,1,134,1062,1,1,47
2n Cycle,Partnered,57247.0,50,2,2,1,7,2,0,0,325,232,2,0,62
Master,Single,22944.0,67,3,3,0,3,7,0,0,188,76,2,0,33
2n Cycle,Partnered,25315.0,46,3,3,0,3,8,0,0,234,54,2,0,37
Graduation,Single,43638.0,37,2,4,1,4,7,0,0,692,201,2,0,45
PhD,Single,42710.0,38,2,4,5,3,6,0,0,578,406,2,0,30
PhD,Partnered,84169.0,9,1,7,6,6,3,0,1,326,1919,1,2,32
Graduation,Partnered,54058.0,56,2,4,6,8,3,0,0,390,662,2,0,38
2n Cycle,Partnered,24683.0,98,2,2,0,4,5,0,0,113,41,2,0,24
Graduation,Single,85620.0,68,1,3,6,4,1,0,1,173,1600,1,0,50
Graduation,Partnered,47850.0,72,1,3,0,4,6,0,0,208,134,2,0,34
Graduation,Partnered,19514.0,47,4,3,1,2,8,0,1,154,69,3,1,46
Master,Partnered,27159.0,33,2,1,0,3,6,0,0,92,21,3,0,41
2n Cycle,Single,39548.0,87,2,1,1,3,3,0,0,90,54,3,0,51
Graduation,Single,21474.0,0,2,3,1,2,7,0,1,82,91,2,1,25
PhD,Single,60504.0,73,2,6,2,8,6,0,0,142,526,2,0,43
Graduation,Partnered,22419.0,74,1,3,2,2,8,0,0,437,162,1,0,51
Master,Partnered,81698.0,4,1,3,8,13,1,0,1,235,1008,1,0,65
Graduation,Partnered,43462.0,50,6,4,1,5,8,0,0,655,240,3,0,62
PhD,Single,54880.0,57,2,6,2,11,5,0,0,485,795,2,0,36
Graduation,Partnered,79908.0,30,1,5,6,7,2,0,0,450,1772,1,1,32
2n Cycle,Partnered,15315.0,27,2,2,0,4,5,0,0,330,64,1,0,44
Graduation,Partnered,87771.0,61,1,5,10,4,6,0,1,403,1957,2,4,55
Graduation,Partnered,33039.0,4,1,2,0,4,5,0,0,293,78,2,0,36
Graduation,Single,81741.0,75,0,6,6,7,2,0,0,378,1572,1,0,34
Master,Partnered,71499.0,12,2,8,3,13,4,0,0,369,795,2,0,43
2n Cycle,Partnered,62466.0,13,5,6,3,12,4,0,0,165,889,2,0,44
PhD,Single,48799.0,9,3,3,2,7,3,0,0,236,331,2,0,51
PhD,Partnered,52157.0,48,2,3,2,5,4,0,0,22,265,2,0,64
Graduation,Single,66565.0,80,4,4,2,9,8,0,0,571,1065,2,0,52
Master,Partnered,29298.0,60,1,1,0,2,5,0,0,295,11,3,0,63
Graduation,Single,47691.0,43,1,1,0,2,6,0,0,359,21,2,0,35
Graduation,Partnered,38200.0,19,1,1,0,2,7,0,0,569,17,3,0,44
Graduation,Partnered,44989.0,26,5,5,1,5,6,0,0,655,369,2,0,40
PhD,Partnered,38443.0,58,2,1,0,3,7,0,0,153,38,3,0,46
2n Cycle,Single,38593.0,42,3,4,1,3,8,0,0,289,177,2,0,36
PhD,Partnered,64413.0,27,1,5,1,5,5,0,0,332,279,2,0,44
Master,Partnered,36959.0,56,2,2,0,3,8,0,0,270,62,2,0,33
PhD,Partnered,61996.0,27,3,6,4,8,5,0,1,514,1230,2,3,37
Graduation,Partnered,51287.0,10,3,4,1,3,7,0,0,89,182,3,0,46
Graduation,Partnered,13260.0,48,4,3,0,3,8,0,0,310,49,3,0,44
PhD,Partnered,47472.0,39,2,2,0,4,5,0,0,286,75,3,0,48
Master,Partnered,54603.0,85,6,4,2,4,7,0,0,355,227,3,0,58
PhD,Partnered,45207.0,64,5,3,1,6,6,0,0,596,215,3,1,40
Graduation,Partnered,40689.0,69,7,7,1,5,8,0,0,468,444,2,0,63
2n Cycle,Partnered,47821.0,54,1,1,0,3,8,0,0,252,47,3,0,47
Master,Partnered,27450.0,57,1,2,1,3,7,0,0,440,143,1,0,63
Graduation,Partnered,39453.0,64,2,2,0,3,6,0,0,87,55,2,0,31
2n Cycle,Partnered,26850.0,10,4,2,1,4,4,0,0,72,63,3,0,43
Graduation,Single,79800.0,65,1,5,11,5,3,0,1,644,1867,1,3,59
Master,Partnered,61794.0,74,2,4,4,10,2,0,0,288,611,2,0,53
Graduation,Partnered,53863.0,4,3,7,1,7,7,0,0,43,473,2,1,59
Graduation,Partnered,24221.0,94,1,1,1,3,4,0,0,313,55,1,0,55
PhD,Single,39684.0,41,2,2,1,2,7,1,1,625,81,2,0,30
Master,Partnered,92163.0,25,0,5,11,5,2,0,1,564,2086,1,2,39
Master,Single,69882.0,94,1,3,7,9,1,0,0,231,1478,1,0,49
Graduation,Partnered,33178.0,9,1,1,0,3,4,0,0,150,49,2,0,37
PhD,Partnered,59973.0,47,1,3,4,7,1,0,0,291,382,1,0,42
Master,Partnered,17459.0,12,3,3,1,2,7,0,1,283,69,2,0,39
Graduation,Single,23910.0,80,1,2,0,3,7,0,0,611,67,2,0,45
Master,Partnered,42169.0,20,2,1,0,3,8,0,0,253,30,3,0,45
2n Cycle,Partnered,26224.0,39,3,2,1,3,6,0,0,390,63,2,0,36
Graduation,Partnered,31089.0,57,3,3,0,4,8,0,0,681,79,2,0,33
Graduation,Single,30081.0,27,1,1,0,3,7,0,0,493,42,2,0,53
Graduation,Partnered,62807.0,83,3,5,3,12,5,0,0,667,819,2,0,54
Graduation,Single,72906.0,79,1,3,4,9,1,0,0,285,1151,1,0,59
PhD,Partnered,61467.0,69,3,5,2,10,5,0,0,567,594,3,0,66
Master,Partnered,49618.0,77,4,3,1,3,7,0,0,519,129,3,0,48
Master,Single,21888.0,15,4,5,1,2,10,0,1,547,213,2,0,28
Graduation,Single,42429.0,99,2,1,1,3,5,0,0,138,67,2,0,41
Graduation,Single,26150.0,61,1,1,0,3,7,0,0,475,28,4,0,58
Basic,Partnered,30801.0,23,2,1,0,3,7,0,0,611,45,2,0,39
Graduation,Partnered,81168.0,84,1,6,4,7,3,0,0,53,1193,1,1,49
Master,Single,26877.0,74,2,3,1,6,6,0,0,314,268,1,0,45
Master,Single,45006.0,90,1,3,1,7,3,0,0,346,266,1,0,70
Basic,Partnered,18978.0,41,1,1,0,3,8,0,0,565,37,2,0,41
Graduation,Partnered,22574.0,28,2,2,0,3,7,0,0,244,37,4,0,47
PhD,Single,48240.0,73,3,6,3,13,5,0,1,597,882,1,0,45
Graduation,Partnered,45837.0,88,5,6,2,5,7,0,0,338,373,3,0,40
Master,Single,35791.0,94,2,1,0,3,8,0,0,419,35,4,0,49
PhD,Partnered,162397.0,31,0,0,0,1,1,0,0,391,107,3,0,38
Graduation,Single,54162.0,31,1,1,0,3,4,0,0,468,42,3,0,36
Master,Partnered,30522.0,6,5,1,2,9,2,0,0,681,326,2,0,54
PhD,Partnered,54456.0,23,3,6,1,7,6,0,0,353,404,2,0,53
Graduation,Single,31632.0,92,1,2,1,2,7,0,0,350,95,1,0,43
Graduation,Single,72298.0,52,1,4,3,6,1,0,0,111,939,1,2,65
2n Cycle,Single,36975.0,50,1,1,0,3,7,0,0,183,33,2,0,36
2n Cycle,Partnered,72635.0,54,1,6,8,6,3,0,0,391,981,1,1,59
Graduation,Partnered,13624.0,93,2,2,0,3,6,0,0,525,36,2,0,38
Graduation,Single,84196.0,56,1,8,4,7,3,0,0,391,1237,2,0,39
Graduation,Partnered,70971.0,28,7,11,11,5,7,0,1,646,1825,2,0,54
PhD,Single,34487.0,94,3,3,0,3,9,0,0,661,103,3,0,37
Graduation,Single,28769.0,76,3,4,1,4,9,0,0,558,191,2,0,37
PhD,Partnered,69084.0,43,2,7,3,13,8,0,0,222,1586,2,0,44
PhD,Partnered,65488.0,46,1,3,4,6,1,0,0,16,963,1,0,56
2n Cycle,Partnered,62466.0,13,5,6,3,12,4,0,0,165,889,2,0,44
2n Cycle,Single,32218.0,27,1,2,1,3,7,0,1,134,93,1,1,54
Graduation,Single,83917.0,12,1,6,7,7,3,0,1,437,1587,1,0,41
Graduation,Single,46102.0,3,1,1,0,2,7,0,0,111,16,4,0,52
Graduation,Single,84574.0,72,1,9,11,11,5,0,0,390,1375,1,0,62
Graduation,Partnered,56181.0,6,1,4,2,7,4,0,0,537,393,2,0,52
Master,Single,63120.0,53,5,8,4,9,7,0,1,639,1477,2,0,64
Graduation,Partnered,73691.0,58,2,6,2,8,2,0,0,235,1179,2,1,43
Graduation,Partnered,63381.0,78,4,4,5,13,2,0,0,632,1005,2,0,54
PhD,Partnered,76140.0,57,1,5,9,6,2,0,0,47,1348,1,0,66
PhD,Single,62859.0,37,4,9,4,6,6,0,0,546,1307,2,0,55
Graduation,Single,45906.0,20,2,5,4,4,5,0,0,418,486,2,1,50
Master,Partnered,77632.0,73,1,4,2,6,2,0,1,476,2252,1,2,67
PhD,Partnered,46463.0,56,7,3,1,6,6,0,0,315,235,3,0,43
Graduation,Partnered,105471.0,36,0,9,8,13,3,0,1,524,1724,1,2,44
Master,Single,55282.0,9,1,3,1,6,4,0,0,198,235,2,0,44
Master,Partnered,78710.0,42,3,7,6,12,4,0,0,37,1092,2,0,37
Graduation,Partnered,66886.0,28,2,7,1,7,5,0,0,286,599,2,0,56
Master,Single,98777.0,23,0,4,6,9,1,0,0,132,2008,1,1,54
Graduation,Partnered,29103.0,38,2,1,0,3,9,0,0,671,48,2,0,29
Graduation,Partnered,67445.0,63,5,9,6,12,6,0,0,686,1174,2,0,40
PhD,Partnered,50616.0,71,1,1,1,4,2,0,0,77,67,2,0,64
Graduation,Single,49431.0,9,2,7,1,5,8,0,0,695,365,2,0,59
Graduation,Single,153924.0,81,0,0,0,0,0,0,0,142,6,1,0,39
Graduation,Partnered,61278.0,87,2,3,1,4,6,0,0,176,165,2,0,61
2n Cycle,Partnered,26490.0,92,2,3,1,5,6,0,0,645,210,1,0,56
PhD,Partnered,73059.0,36,1,9,3,13,4,0,0,302,1095,2,0,67
PhD,Single,46734.0,86,4,3,2,3,6,0,0,251,223,4,1,48
Graduation,Partnered,56253.0,83,4,7,2,9,6,0,0,569,597,2,0,51
Graduation,Partnered,19986.0,74,1,0,0,3,7,0,0,227,22,2,0,29
Graduation,Single,58330.0,87,1,6,4,13,4,0,0,186,1064,2,0,39
Basic,Partnered,25965.0,29,1,2,0,3,8,0,0,660,74,1,0,34
Master,Partnered,14661.0,88,1,1,0,3,6,0,0,544,26,1,0,58
Graduation,Partnered,18690.0,77,1,1,1,2,8,0,0,548,60,1,0,55
PhD,Partnered,45068.0,25,1,1,0,2,7,0,0,409,20,2,0,40
Basic,Single,21063.0,34,2,2,0,3,6,0,0,277,59,2,0,27
PhD,Partnered,29187.0,43,1,1,0,3,8,0,0,416,34,2,0,46
2n Cycle,Partnered,54690.0,76,3,3,1,5,3,0,0,234,198,3,0,43
PhD,Partnered,59304.0,81,3,7,8,10,5,0,0,335,1048,2,0,50
Master,Single,59247.0,87,5,5,2,9,6,0,0,233,574,3,0,52
Graduation,Single,66731.0,33,4,4,3,6,3,0,0,655,1029,2,0,44
Graduation,Partnered,77353.0,38,2,6,4,8,4,0,0,195,670,2,0,34
PhD,Single,52614.0,63,2,2,4,8,8,0,0,575,990,2,0,39
Graduation,Partnered,26751.0,26,1,1,0,2,8,0,0,38,11,3,0,40
PhD,Partnered,81300.0,17,3,10,3,5,5,0,1,607,1241,2,1,51
Graduation,Single,70337.0,75,1,2,2,12,1,0,0,178,576,1,0,35
2n Cycle,Partnered,36145.0,13,4,4,1,3,9,0,1,378,172,2,1,29
PhD,Single,65295.0,19,1,3,3,13,2,0,0,188,664,1,0,34
Graduation,Single,68118.0,51,2,8,9,4,6,0,0,254,928,2,0,51
Graduation,Single,68743.0,81,1,11,5,13,7,0,0,668,2074,1,0,47
2n Cycle,Partnered,41039.0,32,1,8,1,5,8,0,0,339,467,1,0,32
Graduation,Partnered,38946.0,84,2,3,1,6,5,0,0,248,257,2,0,59
Graduation,Partnered,65777.0,87,1,2,8,6,1,0,0,192,1146,1,0,47
PhD,Single,66476.0,99,2,5,2,11,4,0,0,479,689,2,0,38
PhD,Single,86857.0,96,1,5,6,10,2,0,1,655,2114,1,0,42
PhD,Partnered,160803.0,21,15,0,28,1,0,0,0,694,1717,1,0,32
PhD,Partnered,77845.0,40,1,3,5,12,1,0,0,44,1346,1,2,25
PhD,Partnered,69476.0,3,1,4,6,4,2,0,0,272,1044,1,0,45
PhD,Single,50611.0,98,6,4,5,7,6,0,1,633,493,2,1,54
Graduation,Single,61209.0,73,1,5,3,4,2,0,0,308,957,1,0,44
Master,Partnered,42315.0,90,3,1,4,4,3,0,0,352,270,2,0,56
Basic,Partnered,13084.0,29,1,1,0,3,6,0,0,239,29,1,0,62
Master,Single,47570.0,3,3,2,2,2,7,0,1,396,121,3,0,65
Master,Partnered,61923.0,94,1,2,1,4,3,0,0,338,126,3,0,53
Graduation,Single,34824.0,65,1,1,0,2,6,0,0,95,23,1,0,19
PhD,Single,26518.0,33,3,2,0,3,8,0,1,447,57,3,0,65
Graduation,Single,45938.0,46,2,8,4,6,6,0,0,238,636,1,0,53
Graduation,Partnered,78468.0,29,1,10,7,10,4,0,0,81,1004,1,1,54
Graduation,Single,78901.0,99,3,9,3,5,4,0,0,285,734,2,0,41
Graduation,Partnered,71427.0,26,2,8,2,8,4,0,0,109,614,3,0,36
